id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
832,No candidate mentioned,1,yes,1,Neutral,0.6941,None of the above,1,,maddarilke,,0,,,THIS. #GOPDebate #GOPClownCar  https://t.co/ED40f1ZIFY,,07/08/2015 09:47,6.30E+17,Miami,Eastern Time (US & Canada)
833,No candidate mentioned,1,yes,1,Positive,0.6785,FOX News or Moderators,1,,ANDIkNOCKed,,0,,,I hate that I missed the #GOPDebate last night but these @FoxNews high lights are on point. 🐘🇺🇸,,07/08/2015 09:47,6.30E+17,"Salt Lake City, Utah",Quito
834,Chris Christie,1,yes,1,Negative,0.6662,None of the above,1,,drewbaxta,,0,,,Fuck it last one and I'm done #GOPDebate #ChrisChristie http://t.co/QAmUqbetDc,,07/08/2015 09:47,6.30E+17,"Los Angeles, CA ",Pacific Time (US & Canada)
835,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,ChristenDellett,,7,,,"RT @brian_mcgill: Fantastic statistical breakdown of the #GOPdebate from @randyyeip, @stuartathompson last night.http://t.co/dbGL8GdFPb htt…",,07/08/2015 09:47,6.30E+17,South,Central Time (US & Canada)
836,Donald Trump,0.686,yes,1,Negative,0.6279,Women's Issues (not abortion though),0.686,,EscapeVelo,,43,,,"RT @k_mcq: Megyn Kelly on Trump: “He can’t just keep just going after everyone attacks him!” Yes, he can, Ms. ""I’m Offended!"" Feminist. #GO…",,07/08/2015 09:47,6.30E+17,Twitter,
837,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,kiley481,,0,,,beeteedubs.  If you have to play 'Lesser-of-17-Evils' with your party ... perhaps you need a new party.  #p2 #tcot #GOPDebate,,07/08/2015 09:47,6.30E+17,"Washington, DC",
838,No candidate mentioned,1,yes,1,Positive,0.65,None of the above,1,,AlexisinNH,,4,,,"Two debates, one winner: Carly http://t.co/piewA1JCcc #Carly2016 #GOPDebate",,07/08/2015 09:47,6.30E+17,Live Free Or Die,Eastern Time (US & Canada)
839,John Kasich,1,yes,1,Negative,0.6624,None of the above,1,,KarenCrow6,,1,,,"RT @FreedomJames7: John Kasich Is A RINO.
#GOPDebate",,07/08/2015 09:47,6.30E+17,,
840,Donald Trump,0.6686,yes,1,Neutral,0.6336,None of the above,1,,jorgebetny,,1,,,RT @LeticiaEstrada: Did anyone see this last night #gopdebate #trump https://t.co/aU20dYdoWh,,07/08/2015 09:47,6.30E+17,New York!!!,Eastern Time (US & Canada)
841,Mike Huckabee,0.3974,yes,0.6304,Neutral,0.6304,,0.233,,ChalkArtist,,4,,,RT @alicetweet: Coming up: @govmikehuckabee on @FoxBusiness re: #GOPDebate http://t.co/jSLiarDFCO,,07/08/2015 09:47,6.30E+17,"Ottumwa, Iowa",Central Time (US & Canada)
842,No candidate mentioned,1,yes,1,Negative,0.6631,None of the above,0.6471,,SierraCarson,,131,,,RT @Number10cat: I'm just glad there isn't a swimsuit round #GOPDebate http://t.co/tiTzlo93OF,,07/08/2015 09:47,6.30E+17,Fayettechill/ 'Homa,Eastern Time (US & Canada)
843,No candidate mentioned,0.449,yes,0.6701,Negative,0.6701,FOX News or Moderators,0.449,,GodsDontExist,,0,,,#Petition: Exclude Megyn Kelly As A Host From Future Fox News Debates: https://t.co/DxnjJUXeLe (@change) #GOPDebate #debate #MegynKelly #GOP,,07/08/2015 09:47,6.30E+17,"PDX, Oregon ☂  ",Pacific Time (US & Canada)
844,No candidate mentioned,0.4444,yes,0.6667,Negative,0.6667,None of the above,0.4444,,AlasdairDenvil,,0,,,"Why can't our debates be more like the Founding Fathers?

http://t.co/01KulhlXSK

#GOPDebate
#LNYHBT #TLOT #TCOT #P2",,07/08/2015 09:47,6.30E+17,,
845,Donald Trump,0.6277,yes,1,Neutral,0.6809,None of the above,1,,edjschenk,,0,,,@TheRightScoop well @FrankLuntz focus group certainly doesn't match today's #GOPDebate polls,,07/08/2015 09:47,6.30E+17,Twinsburg OH,Eastern Time (US & Canada)
846,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6667,,NoChillAlexis,,15,,,"RT @docrocktex26: This is who wants to ""lead"" your country. This is who wants to make decisions on your behalf. This was their opening case…",,07/08/2015 09:47,6.30E+17,Chicago ✈️ Trampa Flawdaaaa ,Eastern Time (US & Canada)
847,Scott Walker,1,yes,1,Negative,1,None of the above,1,,kimberlyann274,,327,,,"RT @deray: Scott Walker is dangerous. He is deep in his own world and is most comfortable there, it seems. Dangerous. #GOPDebate",,07/08/2015 09:47,6.30E+17,,Eastern Time (US & Canada)
848,No candidate mentioned,0.6347,yes,1,Negative,0.6347,None of the above,1,,ShrinkGov,,1,,,"Lets not pretend the bar for POTUS is very high now.  Its somewhere between sh*t and syphilis
#GOPDebate #tcot",,07/08/2015 09:47,6.30E+17,Republic of Texas,Central Time (US & Canada)
849,No candidate mentioned,1,yes,1,Negative,0.6767,Jobs and Economy,0.6825,,SeaBassThePhish,,1,,,S/O to the GOP for being proud of defeating teachers union even though they just wanted higher wages #GOPDebate,,07/08/2015 09:47,6.30E+17,,Eastern Time (US & Canada)
850,No candidate mentioned,1,yes,1,Neutral,0.663,None of the above,0.6848,,alexandraheuser,,1,,,GOOD POINT  Wait 'til you hear him in a SERIOUS Debate! #GOPDebate #FoxNews  https://t.co/IGhQI3LgH9,,07/08/2015 09:47,6.30E+17,America,
851,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6566,,JLSigman,,4,,,"RT @TananariveDue: As @ShaunKing pointed out, #GOPDebate had a huge audience of POC ready to learn. What we learned was mostly just scary. …",,07/08/2015 09:47,6.30E+17,"Columbia, SC",Quito
852,Scott Walker,0.4344,yes,0.6591,Negative,0.6591,,0.2247,,revtim1911,,38,,,RT @theblaze: Pundits incensed over @megynkelly's abortion question for @ScottWalker during #GOPDebate: http://t.co/m8hAmUusrZ,,07/08/2015 09:47,6.30E+17,,
853,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,Swearengen95,,0,,,I don't give a flying fuck about what Hollywood celebs think about last night's #GOPDebate. They know who they want to win already. F-them.,,07/08/2015 09:47,6.30E+17,Pittsburgh,Eastern Time (US & Canada)
854,Donald Trump,1,yes,1,Neutral,0.6915,None of the above,1,,tincase,,35,,,"RT @fakedansavage: Trump: ""If I'm the nominee, I will not run as an independent."" #GOPDebate",,07/08/2015 09:47,6.30E+17,toronto,Eastern Time (US & Canada)
855,Donald Trump,1,yes,1,Negative,1,None of the above,0.6477,,eadswins,,1,,,RT @PersianPolitik: @woodruffbets @thedailybeast And you just proved @realDonaldTrump point on bad journalists from the #GOPDebate can't ev…,,07/08/2015 09:47,6.30E+17,,
856,Donald Trump,1,yes,1,Negative,0.6602,FOX News or Moderators,1,,Brent_Burch,,7,,,"RT @ChadHastyRadio: Really, the only people who seem upset with @BretBaier &amp; @megynkelly &amp; FOX are the people who backed Trump. #GOPDebate",,07/08/2015 09:47,6.30E+17,,
857,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,0.3601,,andreafed,,1,,,@Deb_Libby Half the Republican base has dementia. They probably found it riveting (when not confusing the TV w/the toaster). #GOPDebate,,07/08/2015 09:47,6.30E+17,Southern California,Central Time (US & Canada)
858,No candidate mentioned,0.6714,yes,1,Negative,0.6714,None of the above,1,,sototallyblahh,,866,,,"RT @marcorubio: This election better be about the future, not the past. #GOPDebate",,07/08/2015 09:47,6.30E+17,813-205,
859,Donald Trump,1,yes,1,Negative,1,Women's Issues (not abortion though),0.6842,,shananigins15,,0,,,"I don't agree with @megynkelly but she is by no means a bimbo, #DonaldTrump.
As a woman, I find Trump's comments disgusting.
#GOPDebate",,07/08/2015 09:47,6.30E+17,Earth,Eastern Time (US & Canada)
860,Chris Christie,1,yes,1,Negative,0.6707,None of the above,1,,kimberlyann274,,206,,,RT @deray: Christie comes across as a bully. But the bully that reminds you that he hurts people because it's in their best interests. #GOP…,,07/08/2015 09:47,6.30E+17,,Eastern Time (US & Canada)
861,Chris Christie,1,yes,1,Negative,1,None of the above,1,,bridoc,,0,,,"Chris Christie tried to wrap himself in 9/11 (Giuliani-style) during the #GOPdebate. In doing so, he lied, twice. http://t.co/y6mUdmr66P",,07/08/2015 09:47,6.30E+17,"Washington, DC",Eastern Time (US & Canada)
862,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,EscapeVelo,,103,,,"RT @k_mcq: It’s embarrassing that a brilliant, stunning woman like Megyn Kelly uses SJW, feminist propaganda to attack Republicans. #GOPDeb…",,07/08/2015 09:47,6.30E+17,Twitter,
863,No candidate mentioned,1,yes,1,Negative,0.6364,FOX News or Moderators,1,,DebndanfarrDeb,,7,,,RT @Kerryepp: A debate should be between 2 candidates. Not between a candidate and a moderator. The moderators should be time keepers only.…,,07/08/2015 09:47,6.30E+17,,
864,No candidate mentioned,1,yes,1,Negative,0.6667,Abortion,0.6774,,pete_908,,0,,,"#GOPDebate why do politicians stick to the same old topics, pro-life, pro-choice? gay marriage. Let it go..These are personal choices!",,07/08/2015 09:47,6.30E+17,NY,Eastern Time (US & Canada)
865,Donald Trump,1,yes,1,Negative,1,None of the above,1,,kanova,,0,,,"I mean, why should it matter if the questions were unfair? You didn't bother answering them anyway @realDonaldTrump #GOPDebate",,07/08/2015 09:47,6.30E+17,"Atlanta, GA, USA",Eastern Time (US & Canada)
866,No candidate mentioned,0.4689,yes,0.6848,Positive,0.6848,None of the above,0.4689,,unclejer1960,,242,,,"RT @peddoc63: Go Carly📢
Go Carly📢
Go Carly📢
@CarlyFiorina #Carly2016 #GOPDebate
@steph93065 @MaydnUSA http://t.co/Pk45i5Zvk0",,07/08/2015 09:47,6.30E+17,Avondale,
867,Rand Paul,0.4123,yes,0.6421,Neutral,0.3263,None of the above,0.4123,,WBBIIISRA,,0,,,Todd Palin &amp; Rand Paul have closed down a Senor Frogs in Puerto Vallarta together after a day of rigorous jet skiing #GOPDebate,,07/08/2015 09:47,6.30E+17,The gym...,Mountain Time (US & Canada)
868,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,tnjg1964,,1,,,RT @Didikatz: Mistake to think #GOPDebate would be fun. Seeing deep sickness US conservatism has become bastardized &amp; spawned by @FoxNews v…,,07/08/2015 09:47,6.30E+17,"Green Bay, Wisconsin",
869,No candidate mentioned,1,yes,1,Positive,1,Jobs and Economy,1,,niceredhead,,0,,,"#GOPDebate  Was interesting to watch, some candidates had some good points about the how the economy has change in the 10 yrs .",,07/08/2015 09:47,6.30E+17,minnesota,Central Time (US & Canada)
870,John Kasich,1,yes,1,Positive,0.6679,None of the above,1,,pragmaticgop,,0,,,"Debate Preformances:
Kasich A-
Rubio A-
Carson B+
Christie B+
Trump B
Bush B
Cruz B-
Huckabee B-
Paul C+
Walker C
#GOPDebate #Kasich #Rubio",,07/08/2015 09:47,6.30E+17,,Eastern Time (US & Canada)
871,Donald Trump,0.4207,yes,0.6486,Neutral,0.3401,None of the above,0.4207,,LinFlies,,1,,,RT @WND_TXT: #Trump is a man  who is Substance.A fighter.The Intellectual Class will never be able to understand a hands on person like Tru…,,07/08/2015 09:47,6.30E+17,"San Diego, CA USA",Pacific Time (US & Canada)
872,Donald Trump,1,yes,1,Neutral,1,FOX News or Moderators,1,,LAWriter,,0,,,Donald Trump Clashes With Megyn Kelly During #GOPDebate  (Video)   https://t.co/k8h5CZrYMW,,07/08/2015 09:47,6.30E+17,"Los Angeles, CA",Pacific Time (US & Canada)
873,No candidate mentioned,1,yes,1,Positive,0.3448,LGBT issues,0.6552,,_gunnoe_ya_know,,1972,,,"RT @PhillyD: I went to a gay wedding. 
""Applause""
And there were black people there too!
""Standing ovation""
#GOPDebate",,07/08/2015 09:47,6.30E+17,,
874,Donald Trump,1,yes,1,Negative,0.6667,None of the above,1,,pocarles,,0,,,"After #GOPDebate, @realDonaldTrump still #1 with Twitter but loosing ground. http://t.co/tXiMY82SOQ http://t.co/cVclcb6UBM",,07/08/2015 09:47,6.30E+17,"Palm Beach, Florida",Eastern Time (US & Canada)
875,No candidate mentioned,1,yes,1,Negative,0.6667,Foreign Policy,1,,3694d4b138274a5,,422,,,"RT @kumailn: ""We have the military for a reason. To fuck shit up!!!"" #GOPDebate",,07/08/2015 09:47,6.30E+17,,
876,Donald Trump,1,yes,1,Neutral,0.6522,None of the above,1,,greenspaceguy,,0,,,@joshtpm #GOPDebate https://t.co/AyxbtXwsKR … Money Can't Buy Me Love? Or Can It? -D Trump #Quote,,07/08/2015 09:47,6.30E+17,Michigan,Central Time (US & Canada)
877,Jeb Bush,1,yes,1,Negative,1,None of the above,1,,Pavlova__,,64,,,RT @Writeintrump: Jeb Bush refers to himself as Vito Corleone. I always thought he was Fredo.  #GOPDebate,,07/08/2015 09:47,6.30E+17,,Amsterdam
878,No candidate mentioned,1,yes,1,Neutral,1,Women's Issues (not abortion though),0.358,,miss_articulate,,570,,,"RT @maureenjohnson: ""Women or guns? Which are the most people?"" #GOPDebate",,07/08/2015 09:47,6.30E+17,Pennsylvania,Eastern Time (US & Canada)
879,Donald Trump,0.6471,yes,1,Negative,1,None of the above,1,,Tylaskan,,332,,,RT @TamaraCG: My new favorite gif is perfect. #GOPDebate http://t.co/uKdZ8O85Av,,07/08/2015 09:47,6.30E+17,Proverbs 31:25,Eastern Time (US & Canada)
880,No candidate mentioned,1,yes,1,Negative,1,Racial issues,0.6628,,donitalulu,,112,,,RT @Wordplay4Days: @Dreamdefenders were censored for taking these candidates ACTUAL words and posting these. #KKKorGOP #GOPDebate http://t.…,,07/08/2015 09:47,6.30E+17,,
881,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,RBesier,,1,,,"RT @learjetter: #FOXNEWS used crazy&gt; @DWStweets to stir the #drama pot, and that's unprofessional! @FoxNews #GOPDebate 

@JulietteIsabell @…",,07/08/2015 09:47,6.30E+17,Houston,
882,No candidate mentioned,0.4664,yes,0.683,Neutral,0.3678,None of the above,0.2512,,mhansle,,33,,,RT @ykhong: Instagram took down @dreamdefenders website for posting real quotes from the #GOPdebate wi… http://t.co/5rEByRJgcK http://t.co/…,,07/08/2015 09:47,6.30E+17,JAM →CAN →JPN,
883,Donald Trump,1,yes,1,Negative,0.6897,None of the above,1,,TheGooseFraba,,399,,,"RT @TheMattFowler: “Mr. Trump, this next question is for you. Please explain this pathetic taking of the Stone Cold Stunner” #GOPDebate htt…",,07/08/2015 09:47,6.30E+17,Texas,Central Time (US & Canada)
884,Donald Trump,1,yes,1,Negative,1,Women's Issues (not abortion though),0.3333,,JamesRiley2,,197,,,"RT @AmyMek: The ONLY way @realDonaldTrump will ever be treated fairly by the media -&gt; 

#GOPDebate http://t.co/5wYduo9v2K",,07/08/2015 09:47,6.30E+17,,Eastern Time (US & Canada)
885,Donald Trump,1,yes,1,Negative,1,None of the above,1,,StitchJonze,,0,,,@realDonaldTrump hires actors for his announcement. How many did he pay to click the @DRUDGE_REPORT survey ? #GOPDebate #Trump,,07/08/2015 09:47,6.30E+17,ΜΟΛΩΝ ΛΑΒΕ,Eastern Time (US & Canada)
886,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,ResearchRatCT,,5,,,"RT @libertyladyusa: Yes ma'am @ConservVoice @KerryPicket ~&gt; @megynkelly Megyn you disappointed me! 

#GOPDebate 🇺🇸",,07/08/2015 09:47,6.30E+17,,
887,Donald Trump,1,yes,1,Negative,1,None of the above,1,,MrGusStefano,,88,,,"RT @theLadyGrantham: Don't be Donald Trump dear, it's very middle class. #GOPDebate",,07/08/2015 09:47,6.30E+17,Rio de Janeiro,
888,Donald Trump,1,yes,1,Negative,1,None of the above,1,,debrajsaunders,,0,,,#GOPdebate: Trump trumps Trump. @realDonaldTrump was biggest loser.    http://t.co/I4T3C2GMZO via @SFGate,,07/08/2015 09:47,6.30E+17,San Francisco Chronicle,
889,No candidate mentioned,1,yes,1,Negative,1,Religion,1,,MikeT_CT,,0,,,"I want to point on one more time, that a real question, in a real presidential debate was ""what did God say to you?"" #GOPDebate",,07/08/2015 09:47,6.30E+17,"Connecticut, USA",Eastern Time (US & Canada)
890,Marco Rubio,1,yes,1,Negative,1,Abortion,0.3755,,elvislver56,,12,,,RT @TheBaxterBean: Marco Rubio: Constitutional Right To Choose Was 'Egregiously Flawed Decision' http://t.co/U63WRh7mXN #GOPDebate http://t…,,07/08/2015 09:47,6.30E+17,"Garden Grove, Ca",
891,Scott Walker,1,yes,1,Positive,0.6279,Jobs and Economy,1,,RedRoadRail,,0,,,Scott Walker's Wisconsin Is Seeing The Fastest Shrinking Middle Class In America http://t.co/zoPokedb8L #GOPDebate #VotersFirst #Trump2016,,07/08/2015 09:47,6.30E+17,Missouri & Florida Wisconsin,Mountain Time (US & Canada)
892,No candidate mentioned,0.6235,yes,1,Negative,1,None of the above,1,,imoore8904,,0,,,His supporters don't seem to care he's just as corrupt as the politicians he calls stupid. #GOPDebate  https://t.co/8jnMnzSZBk,,07/08/2015 09:47,6.30E+17,United States,Pacific Time (US & Canada)
893,No candidate mentioned,0.4101,yes,0.6404,Negative,0.6404,,0.2303,,MisteProgram,,0,,,"#gopdebate Carly Fiorina called Hillary a liar 3x on @Hardball_Chris 
Then not more than 5 minutes later, she says she never did that
#Liar",,07/08/2015 09:47,6.30E+17,,Eastern Time (US & Canada)
894,Donald Trump,1,yes,1,Negative,1,None of the above,1,,MC_Stephenson,,0,,,"I know the audience erupted last night re: @realDonaldTrump and Rosie line of ques, but how could you want that guy for a Prez? #GOPDebate",,07/08/2015 09:47,6.30E+17,"Austin, TX",Quito
895,Marco Rubio,1,yes,1,Positive,1,None of the above,1,,JohnPaulPedraza,,0,,,Winners of #GOPDebate Sen. @MarcoRubio &amp; Former @HP CEO @CarlyFiorina by far best Republican Presidential Candidates http://t.co/v9QDpMpkK4,,07/08/2015 09:47,6.30E+17,#Miami & #Colombia,Eastern Time (US & Canada)
896,No candidate mentioned,1,yes,1,Neutral,0.6403,None of the above,1,,CheleM14,,79,,,RT @NancyLeeGrahn: This #GOPDebate is a giant commercial for @HillaryClinton for President. Thank you God.,,07/08/2015 09:47,6.30E+17,,
897,No candidate mentioned,1,yes,1,Positive,0.3677,None of the above,1,,gedda,,40,,,RT @daveanthony: Chewbacca should be up there just roaring every once in a while.  Would fit right in.  #GOPDebate,,07/08/2015 09:47,6.30E+17,Sweden,Stockholm
898,No candidate mentioned,1,yes,1,Neutral,0.6708,None of the above,1,,EscapeVelo,,0,,,#GOPDebate Field seems terrified of mentioning Obama in a negative light.,,07/08/2015 09:47,6.30E+17,Twitter,
899,Donald Trump,0.6882,yes,1,Negative,0.6452,None of the above,1,,garrulous34,,0,,,"'Political Correctness' is a vile term, and people who invoke it as a slur are cowards. #GOPDebate http://t.co/n8pu1zOVBh",,07/08/2015 09:47,6.30E+17,California,Pacific Time (US & Canada)
900,No candidate mentioned,1,yes,1,Negative,0.6517,None of the above,1,,allen1006,,0,,,established #GOPDebate afraid someone willing to tell the truth would shake DC up https://t.co/MIa5T8YSWP,,07/08/2015 09:47,6.30E+17,,Eastern Time (US & Canada)
901,Rand Paul,0.6595,yes,1,Negative,0.6936,Foreign Policy,0.6469,,Pavlova__,,65,,,"RT @Writeintrump: I knew the war in Iraq was a bad idea, just like I knew letting that blind guy cut Rand Paul's hair was a bad idea.  #GOP…",,07/08/2015 09:47,6.30E+17,,Amsterdam
902,No candidate mentioned,1,yes,1,Positive,0.6778,None of the above,1,,Clever_Otter,,0,,,"Yay, social issues next!!! #GOPDebate",,07/08/2015 09:47,6.30E+17,Earth,Mountain Time (US & Canada)
903,No candidate mentioned,0.3943,yes,0.6279,Negative,0.6279,None of the above,0.3943,,WallSarawall38,,3,,,RT @ArtIsWarUSA: #Democrats say Hail Hitlery #Socialist #DeathByDemocrat #Election2016 #StopHillary #GOPDebate #nazi #liberallogic http://t…,,07/08/2015 09:47,6.30E+17,"South Carolina, USA",
904,No candidate mentioned,1,yes,1,Negative,0.7021,Abortion,0.7021,,Living400lbs,,47,,,"RT @Elevat0rLady: Hopped on FB, and saw my friends recap of the #GOPDebate ... She wins. http://t.co/tpszBViD8O",,07/08/2015 09:47,6.30E+17,"Seattle, WA",Pacific Time (US & Canada)
905,No candidate mentioned,1,yes,1,Negative,0.6781,FOX News or Moderators,0.3521,,AndreaUpadhya,,58,,,"RT @Mammals_Suck: I am shocked* that over an hour into the #GOPDebate &amp; there have been no Qs about Police Brutality &amp; #BlackLivesMatter 

…",,07/08/2015 09:47,6.30E+17,"Fort Worth, TX",Central America
906,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,DWHignite,,0,,,"Maybe tweeting is just not your game. I know! Let's have a spelling contest with #profanity..U win #GOPDebate 
 https://t.co/9TaLiqmeZH",,07/08/2015 09:47,6.30E+17,,
907,No candidate mentioned,0.4218,yes,0.6495,Negative,0.6495,None of the above,0.4218,,DDRod,,1,,,"RT @JeffSimmons2050: #GOPDebate takeaway – Presence Matters. I see presence as a blend of believability,  articulation of #integrity w/ edg…",,07/08/2015 09:47,6.30E+17,Indianapolis,Eastern Time (US & Canada)
908,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,NathanCJohnson,,0,,,Carly Fiorina Runs Circles Around Chris Matthews Over Hillary's Record - YouTube https://t.co/B9P8WG3ixz #GOPDebate,,07/08/2015 09:47,6.30E+17,Michigan,Eastern Time (US & Canada)
909,Donald Trump,1,yes,1,Negative,1,None of the above,1,,ariannaisgone,,122,,,RT @JRehling: #GOPDebate Donald Trump is what Bruce Wayne would have turned into if his parents lived.,,07/08/2015 09:47,6.30E+17,Konoha,Pacific Time (US & Canada)
910,No candidate mentioned,1,yes,1,Positive,0.3563,None of the above,1,,paladinette,,1,,,"RT @jphoganorg: After #GOPDebate #FeelTheBern can step over fallen #Hillary2016
#Justice #FBI #FEC to dissect too of 22nd Amendment: http:/…",,07/08/2015 09:47,6.30E+17,"Yukon, Oklahoma",Central Time (US & Canada)
911,Scott Walker,1,yes,1,Negative,0.6632,None of the above,0.6421,,asyaakca22,,40,,,"RT @ali: I've compiled a chart based on polling rank versus time allotted to speak at the #GOPDebate. Walker, Paul most robbed http://t.co/…",,07/08/2015 09:47,6.30E+17,,Eastern Time (US & Canada)
912,No candidate mentioned,0.4642,yes,0.6813,Neutral,0.6813,None of the above,0.4642,,BradBannon,,1,,,"""Was GOP Debate a Campaign Preview or Rearview?"" by @BradBannon on @LinkedIn https://t.co/n0mko8qQIE #UniteBlue #P2 #POTUS #GOPDebate #RSG15",,07/08/2015 09:47,6.30E+17,"Washington, D.C",Eastern Time (US & Canada)
913,No candidate mentioned,1,yes,1,Neutral,0.6739,None of the above,1,,queenofattolia,,643,,,RT @richardhine: Joe Biden watching the #GOPDebate http://t.co/6y2aXgITms,,07/08/2015 09:47,6.30E+17,"Los Angeles, CA",Pacific Time (US & Canada)
914,Donald Trump,0.464,yes,0.6812,Negative,0.6812,None of the above,0.2393,,ShadowBard,,1,,,"American women take note: When @@realDonaldTrump justified his piggish attacks on women at the #GOPDebate, not 1 man on stage called him out",,07/08/2015 09:47,6.30E+17,Chicago,Central Time (US & Canada)
915,No candidate mentioned,0.3923,yes,0.6264,Negative,0.6264,Abortion,0.3923,,secretrowbrina,,1753,,,"RT @feministabulous: If you ""hate abortion"" then you shouldn't defund Planned Parenthood because that's a surefire way to increase abortion…",,07/08/2015 09:47,6.30E+17,rowbrina follows,
916,No candidate mentioned,1,yes,1,Positive,0.6457,None of the above,0.6457,,LeeSutton4,,71,,,RT @LeahRBoss: @CarlyFiorina spanked the boys tonight. She wasn't even on my radar. Is now. #GOPDebate,,07/08/2015 09:47,6.30E+17,,
917,Chris Christie,1,yes,1,Neutral,0.6369,None of the above,0.6369,,mideastcafe,,8,,,RT @indranibala: Chris Christie currently using this case to bolster his campaign for presidency. #GOPDebate https://t.co/YGMULdG8N2,,07/08/2015 09:46,6.30E+17,"Atlanta, Georgia",Eastern Time (US & Canada)
918,Jeb Bush,1,yes,1,Negative,0.6548,None of the above,1,,TisMadameK,,0,,,Jeb looks like Beavis when he smiles. #GOPdebate,,07/08/2015 09:46,6.30E+17,Liquor aisle.,Eastern Time (US & Canada)
919,No candidate mentioned,0.4208,yes,0.6487,Negative,0.6487,None of the above,0.4208,,wendykammarcy,,0,,,Who needs comedy shows when you have the #GOPDebate?! Meanwhile #macdebate was kinda a snore 😴 Sorry Canada!  https://t.co/QIQvue3FSr,,07/08/2015 09:46,6.30E+17,Toronto • NYC • Hong Kong,Eastern Time (US & Canada)
920,No candidate mentioned,0.3997,yes,0.6322,Negative,0.6322,LGBT issues,0.3997,,AtlBlue2,,6,,,"RT @TheBaxterBean: REMINDER: Family is important to Republican 2016 candidates, just not gay families. http://t.co/Cs0UsasSQS #GOPDebate ht…",,07/08/2015 09:46,6.30E+17,"Atlanta, GA",Eastern Time (US & Canada)
921,No candidate mentioned,1,yes,1,Negative,0.6782,None of the above,0.6782,,AlasdairDenvil,,0,,,"Why can't our debates be more like the Founding Fathers, and less like game shows?

http://t.co/01KulhlXSK

#GOPDebate",,07/08/2015 09:46,6.30E+17,,
922,Scott Walker,1,yes,1,Negative,1,None of the above,1,,RDJtakethewheel,,0,,,@BernieSanders @ScottWalker that man did not say one intelligent thing. I mean... None of them did. #BernieSanders #GOPDebate #FeelTheBern,,07/08/2015 09:46,6.30E+17,"Salem, OR",Arizona
923,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,cblakebakes,,0,,,I have a serious #GOPDebate hangover today.,,07/08/2015 09:46,6.30E+17,Minnesota,Central Time (US & Canada)
924,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,CalicoGardens,,8,,,RT @cfjwagner: The 4 scariest bugs. And I don't mean GOP candidates (RIMSHOT!) http://t.co/okC1TFczwW #GOPDebate #blog #writerslife http://…,,07/08/2015 09:46,6.30E+17,,
925,No candidate mentioned,1,yes,1,Neutral,0.6897,None of the above,1,,RFSchatten,,1,,,RT @Marnus3: The perfect remedy for a #GOPDebate hangover is to #FF @pharris830 @mharvey816  @comebackdecade  @GlenThePlumber  @RFSchatten,,07/08/2015 09:46,6.30E+17,"Klamath Falls, Oregon",Eastern Time (US & Canada)
926,Donald Trump,1,yes,1,Neutral,0.7033,FOX News or Moderators,1,,imontyt,,0,,,"@realDonaldTrump got ""trumped"" by @megynkelly #GOPDebate",,07/08/2015 09:46,6.30E+17,"ÜT: 43.696263,-79.555083",Eastern Time (US & Canada)
927,Ted Cruz,1,yes,1,Neutral,1,None of the above,1,,SEmpowermentS,,744,,,"RT @mydaughtersarmy: The debate has been hard on Ted Cruz.

#GOPDebate http://t.co/9hmr7Num6N",,07/08/2015 09:46,6.30E+17,Vancouver WA,Arizona
928,Donald Trump,0.4025,yes,0.6344,Negative,0.3226,,0.2319,,zb420_,,43,,,RT @KEEMSTARx: The black guy is smart as fuck! #GOPDebate Trump should make him his VP.,,07/08/2015 09:46,6.30E+17,"Stoned, NY - Cali Bound",Atlantic Time (Canada)
929,No candidate mentioned,1,yes,1,Positive,1,FOX News or Moderators,0.6703,,httptara,,0,,,I thought @megynkelly did an awesome job at the #GOPDebate personally,,07/08/2015 09:46,6.30E+17,unt 2019,
930,Donald Trump,1,yes,1,Negative,0.6382,FOX News or Moderators,1,,mgmattson,,0,,,@megynkelly U disappointed me in last night's #GOPDebate. U should've asked @realDonaldTrump Q's that are pertinent 2 duties of a President.,,07/08/2015 09:46,6.30E+17,California,Pacific Time (US & Canada)
